,strong,weak,input,type,benchmark,Logistic Regression,SVM,MLP,Ensemble,RouteLLM
0,gpt-4o,llama3-8b,internal state,1/2,TestEval_line,0.3738805970149254,0.3738805970149254,0.3738805970149254,0.36343283582089553,0.3738805970149254
1,gpt-4o,llama3-8b,internal state,2/3,TestEval_line,0.3738805970149254,0.4044776119402985,0.3835820895522388,0.36343283582089553,0.3940298507462687
2,gpt-4o,llama3-8b,internal state,3/4,TestEval_line,0.3738805970149254,0.3835820895522388,0.4044776119402985,0.3835820895522388,0.32313432835820893
3,gpt-4o,llama3-8b,prompt embedding,nomic-embed-text,TestEval_line,0.5253731343283582,0.5350746268656716,0.5149253731343284,0.5253731343283582,0.505223880597015
4,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-large,TestEval_line,0.4246268656716418,0.48507462686567165,0.4246268656716418,0.44477611940298506,0.48507462686567165
5,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-small,TestEval_line,0.4141791044776119,0.48507462686567165,0.4544776119402985,0.46492537313432836,0.49477611940298505
6,gpt-4o,llama3.1-8b,internal state,1/2,TestEval_line,0.44477611940298506,0.46492537313432836,0.4141791044776119,0.3738805970149254,0.3537313432835821
7,gpt-4o,llama3.1-8b,internal state,2/3,TestEval_line,0.4544776119402985,0.4544776119402985,0.3835820895522388,0.3835820895522388,0.34328358208955223
8,gpt-4o,llama3.1-8b,internal state,3/4,TestEval_line,0.4544776119402985,0.4544776119402985,0.3940298507462687,0.3940298507462687,0.3738805970149254
9,gpt-4o,llama3.1-8b,prompt embedding,nomic-embed-text,TestEval_line,0.4044776119402985,0.4746268656716418,0.4544776119402985,0.4544776119402985,0.4544776119402985
10,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-large,TestEval_line,0.36343283582089553,0.3537313432835821,0.4246268656716418,0.3835820895522388,0.46492537313432836
11,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-small,TestEval_line,0.36343283582089553,0.3537313432835821,0.4343283582089552,0.3940298507462687,0.46492537313432836
12,gpt-4o,mistral-nemo-12b,internal state,1/2,TestEval_line,0.44477611940298506,0.4544776119402985,0.44477611940298506,0.4343283582089552,0.4141791044776119
13,gpt-4o,mistral-nemo-12b,internal state,2/3,TestEval_line,0.36343283582089553,0.4044776119402985,0.31343283582089554,0.32313432835820893,0.3940298507462687
14,gpt-4o,mistral-nemo-12b,internal state,3/4,TestEval_line,0.34328358208955223,0.3738805970149254,0.36343283582089553,0.3537313432835821,0.3835820895522388
15,gpt-4o,mistral-nemo-12b,prompt embedding,nomic-embed-text,TestEval_line,0.505223880597015,0.5552238805970149,0.49477611940298505,0.48507462686567165,0.5552238805970149
16,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-large,TestEval_line,0.4044776119402985,0.4246268656716418,0.4044776119402985,0.4044776119402985,0.505223880597015
17,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-small,TestEval_line,0.4044776119402985,0.4246268656716418,0.4246268656716418,0.3738805970149254,0.49477611940298505
18,gpt-4o,qwen2.5-coder-7b,internal state,1/2,TestEval_line,0.4544776119402985,0.44477611940298506,0.3940298507462687,0.4044776119402985,0.4544776119402985
19,gpt-4o,qwen2.5-coder-7b,internal state,2/3,TestEval_line,0.44477611940298506,0.5253731343283582,0.3940298507462687,0.44477611940298506,0.4544776119402985
20,gpt-4o,qwen2.5-coder-7b,internal state,3/4,TestEval_line,0.4044776119402985,0.46492537313432836,0.44477611940298506,0.4246268656716418,0.46492537313432836
21,gpt-4o,qwen2.5-coder-7b,prompt embedding,nomic-embed-text,TestEval_line,0.49477611940298505,0.5149253731343284,0.46492537313432836,0.4544776119402985,0.49477611940298505
22,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-large,TestEval_line,0.4746268656716418,0.48507462686567165,0.44477611940298506,0.4746268656716418,0.4246268656716418
23,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-small,TestEval_line,0.46492537313432836,0.48507462686567165,0.4246268656716418,0.46492537313432836,0.4343283582089552
24,gpt-4o,phi4-14b,internal state,1/2,TestEval_line,0.48507462686567165,0.4246268656716418,0.4044776119402985,0.4544776119402985,0.36343283582089553
25,gpt-4o,phi4-14b,internal state,2/3,TestEval_line,0.4343283582089552,0.44477611940298506,0.48507462686567165,0.4141791044776119,0.3940298507462687
26,gpt-4o,phi4-14b,internal state,3/4,TestEval_line,0.4343283582089552,0.48507462686567165,0.4044776119402985,0.4044776119402985,0.31343283582089554
27,gpt-4o,phi4-14b,prompt embedding,nomic-embed-text,TestEval_line,0.44477611940298506,0.5149253731343284,0.44477611940298506,0.3835820895522388,0.3738805970149254
28,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-large,TestEval_line,0.4141791044776119,0.5350746268656716,0.2828358208955224,0.3029850746268657,0.31343283582089554
29,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-small,TestEval_line,0.4044776119402985,0.5253731343283582,0.2828358208955224,0.2828358208955224,0.3537313432835821
30,gemini-2.5-flash-lite,llama3-8b,internal state,1/2,TestEval_line,0.34328358208955223,0.32313432835820893,0.4343283582089552,0.3738805970149254,0.3835820895522388
31,gemini-2.5-flash-lite,llama3-8b,internal state,2/3,TestEval_line,0.36343283582089553,0.32313432835820893,0.3738805970149254,0.3335820895522388,0.4044776119402985
32,gemini-2.5-flash-lite,llama3-8b,internal state,3/4,TestEval_line,0.3537313432835821,0.3537313432835821,0.3738805970149254,0.3537313432835821,0.4044776119402985
33,gemini-2.5-flash-lite,llama3-8b,prompt embedding,nomic-embed-text,TestEval_line,0.5350746268656716,0.585820895522388,0.4246268656716418,0.4246268656716418,0.46492537313432836
34,gemini-2.5-flash-lite,llama3-8b,prompt embedding,text-embedding-3-large,TestEval_line,0.3738805970149254,0.4343283582089552,0.36343283582089553,0.3940298507462687,0.3537313432835821
